Date,Ticker,Open,High,Low,Close,Volume,Currency
2020-10-22,EMB.DE,107.191,107.358,106.865,106.885,4376778.8933684,
2020-10-23,EMB.DE,107.151,107.428,106.944,107.388,3224242.736467,
2020-10-26,EMB.DE,107.211,107.31,106.944,107.004,2895822.8184084,
2020-10-27,EMB.DE,107.418,107.655,107.024,107.635,3712088.3536717,
2020-10-28,EMB.DE,107.319,107.358,106.688,106.718,6104161.5750533,
2020-10-29,EMB.DE,106.588,106.845,106.431,106.757,5035323.3784503,
2020-10-30,EMB.DE,106.638,106.688,106.274,106.461,4174097.853356,
2020-11-02,EMB.DE,106.303,106.549,106.204,106.254,5807116.1111387,
2020-11-03,EMB.DE,106.944,107.171,106.549,107.112,4795486.4604736,
2020-11-04,EMB.DE,107.715,109.304,107.715,109.186,8692746.4859762,
2020-11-05,EMB.DE,109.749,109.896,109.156,109.6,7931545.2650061,
2020-11-06,EMB.DE,109.245,109.363,108.869,109.126,6139715.1032483,
2020-11-09,EMB.DE,110.548,110.656,109.472,109.639,7087165.6826199,
2020-11-10,EMB.DE,109.294,109.779,109.116,109.522,3763536.745919,
2020-11-11,EMB.DE,109.996,110.153,109.836,109.936,2849146.0252531,
2020-11-12,EMB.DE,110.213,110.242,109.649,109.729,5066810.2604228,
2020-11-13,EMB.DE,110.073,110.173,109.926,110.153,2314186.0579396,
2020-11-16,EMB.DE,110.38,110.449,110.213,110.4,2767596.3480526,
2020-11-17,EMB.DE,110.203,110.31,109.846,110.203,4181562.656011,
2020-11-18,EMB.DE,110.33,110.42,110.054,110.103,2659535.9863618,
2020-11-19,EMB.DE,110.301,110.43,110.133,110.36,3959413.3701598,
2020-11-20,EMB.DE,110.44,110.538,110.252,110.44,3528110.847693,
2020-11-23,EMB.DE,110.766,110.766,110.272,110.35,3041741.9852062,
2020-11-24,EMB.DE,110.577,110.587,110.459,110.499,4120859.7316254,
2020-11-25,EMB.DE,110.449,110.647,110.282,110.42,3294934.5188966,
2020-11-27,EMB.DE,110.814,110.883,110.479,110.776,2287611.5630604,
2020-11-30,EMB.DE,110.557,110.873,110.063,110.557,4919107.4413216,
2020-12-01,EMB.DE,110.706,110.873,110.548,110.844,11339607.500774,
2020-12-02,EMB.DE,111.003,111.033,110.786,110.903,6001505.8520284,
2020-12-03,EMB.DE,111.347,111.367,111.2,111.367,6605247.3415532,
2020-12-04,EMB.DE,111.554,111.584,111.377,111.457,3820432.3170915,
2020-12-07,EMB.DE,111.367,111.467,111.307,111.437,3524289.3143934,
2020-12-08,EMB.DE,111.26,111.377,111.17,111.26,2843727.2065007,
2020-12-09,EMB.DE,111.13,111.614,110.854,110.993,6535507.6506428,
2020-12-10,EMB.DE,111.13,111.634,110.993,111.535,5103901.3151348,
2020-12-11,EMB.DE,111.516,111.654,111.407,111.594,3983168.0535612,
2020-12-14,EMB.DE,111.693,111.743,111.298,111.594,2607985.2949194,
2020-12-15,EMB.DE,111.792,112.01,111.664,111.98,3255396.3864078,
2020-12-16,EMB.DE,112.049,112.197,111.14,112.058,3265669.8590443,
2020-12-17,EMB.DE,111.99,112.157,111.841,112.039,5714765.2595131,
2020-12-18,EMB.DE,112.03,112.058,111.753,111.891,2726895.4484745,
